entity_name,entity_type
Akbar Motallebizadeh,Individual
Banco Corporativo Sa,Entity
Jalal Emami Ghareh Hajjlu,Individual
Naria General Trading Llc,Entity
Shahid Baba'I Group,Entity
Laureano Facundo Ortega Murillo,Individual
Shahid Kazemi Group,Entity
Hital Exchange,Entity
Shahid Shokri Science And Technology Research Center,Entity
Heidar Karar Group,Entity
Shahid Zeinoddin Group,Entity
Mohammad Reza Ale Ali,Individual
Sheikh Baha'I Science And Technology Research Center,Entity
Bu Ali Group,Entity
Sadra Research Center,Entity
Abu Reihan Group,Entity
Mohammad Reza Mehdipur,Individual
Shahid Karimi Group,Entity
The Best Leader General Trading Llc,Entity
Reza Ebrahimi,Individual
Ayatollah Ebrahimi,Individual
Iranian Atlas Company,Entity
Persian Gulf Petrochemical Industry Co.,Entity
Ansar Bank Brokerage Company,Entity
Ansar Information Technology Company,Entity
Ansar Exchange,Entity
Alireza Atabaki,Individual
Zagros Pardis Kish,Entity
Shahid Movahhed Danesh Group,Entity
Iman Sedaghat Galeshkalami,Individual
Sakan Exchange,Entity
Atlas Exchange,Entity
Reza Sakan Dastgiri,Individual
Sakan General Trading,Entity
Atlas Doviz Ticareti A.S.,Entity
Suleyman Sakan,Individual
Golden Commodities Llc,Entity
Mohammad Vakili,Individual
Puya Electro Saman Niru,Entity
Gholam Reza Eta'Ati,Individual
La Florida Investments Group Llc,Entity
Smile Technologies S.A. Llc,Entity
Smile Property & Travel Ltd.,Entity
Ali Shams Mulavi,Individual
Banco Prodem S.A.,Entity
Shahid Chamran Group,Entity
Sayyed Asghar Hashemitabar,Individual
Shahid Fakhar Moghaddam Group,Entity
Shahid Avini Group,Entity
Mansur Asgari,Individual
Sa'Id Borji,Individual
Mohammad Javad Safari,Individual
Ruhollah Ghaderi Barmi,Individual
Mohsen Shafa'I,Individual
Kimiya Pakhsh Shargh,Entity
Mehdi Masoumian,Individual
Mohammad Hossein Haghighian,Individual
Llc Smilewallet,Entity
Llc Smilepayments,Entity
Banco De Desarrollo Economico Y Social De Venezuela,Entity
Banco Bandes Uruguay S.A.,Entity
De La Clase Obrera Banco Bicentenario Del Pueblo,Entity
Banco De Venezuela Sa Banco Universal,Entity
Paradise Medical Pioneers Company,Entity
Arvand Petrochemical Company,Entity
Alex Nain Saab Moran,Individual
Bandar Imam Besparan Petrochemical Company,Entity
Tawu Mechanical Engineering And Trading Company,Entity
Sohayl Talebi,Individual
Ltd Sanming Sino-Euro Import And Export Co.,Entity
Ltd Henan Jiayuan Aluminium Industry Co.,Entity
Tamin Kalaye Sabz Aras Company,Entity
Salim Borji,Individual
Mehdi Najafi,Individual
Ltd. Suzhou Zhongsheng Magnetic Industry Co.,Entity
Ltd Suzhou A-One Special Alloy Co.,Entity
Mohammad Fakhrzadeh,Individual
Sun Properties Llc,Entity
Seafire Foundation,Entity
Mulberry Proje Yatirim Anonim Sirketi,Entity
Clio Management Corp.,Entity
Salman Raouf Salman,Individual
Hannover Esteban Guerrero Mijares,Individual
Rafael Ramon Blanco Marrero,Individual
Afsaneh Karimi-Adegani,Individual
Rafael Antonio Franco Quintero,Individual
Bakhtar Raad Sepahan Company,Entity
Presidency Of Defense Industries,Entity
Jose Gregorio Vielma Mora,Individual
Group Grand Limited,Entity
Group Grand Limited General Trading,Entity
Asasi Food Fze,Entity
Alvaro Enrique Pulido Vargas,Individual
Ali Maychou,Individual
Shadi Nain Saab Certain,Individual
Isham Ali Saab Certain,Individual
Walter Jacob Gavidia Flores,Individual
Yosser Daniel Gavidia Flores,Individual
Yoswal Alexander Gavidia Flores,Individual
Mariana Andrea Staudinger Lemoine,Individual
General Directorate Of Military Counterintelligence,Entity
Rayan Al-Kildani,Individual
Waad Qado,Individual
Nawfal Hammadi Al-Sultan,Individual
Ahmad Abdullah Al-Jubouri,Individual
Ismail Demir,Individual
Alexander Enrique Granko Arteaga,Individual
Zhuhai Zhenrong Company Limited,Entity
Youmin Li,Individual
Asre Sanat Eshragh Company,Entity
Seyed Hossein Shariat,Individual
Hamed Dehghan,Individual
Hadi Dehghan,Individual
Shaghayegh Akhaei,Individual
Mahdi Ebrahimzadeh,Individual
Llc Pishtazan Kavosh Gostar Boshra,Entity
Ebtekar Sanat Ilya Llc,Entity
Green Industries Hong Kong Limited,Entity
Shafagh Senobar Yazd Company Limited,Entity
Penta Ocean Ship Management And Operation Llc,Entity
Mehdi Offshore And Ship Management Pte. Ltd.,Entity
Bushra Ship Management Private Limited,Entity
Khadija Ship Management Private Limited,Entity
Vaniya Ship Management Private Limited,Entity
Ali Ghadeer Mehdi,Individual
Houka Houka Ag Alhousseini,Individual
Mahri Sidi Amar Ben Daha,Individual
Mohamed Ould Mataly,Individual
Mohamed Ben Ahmed Mahri,Individual
Silver Bay Partners Fze,Entity
Igor Vladimirovich Nesterov,Individual
Denis Igorevich Kuzmin,Individual
Redin Exchange,Entity
Marwan Mahdi Salah Al-Rawi,Individual
Ismael Tash,Individual
Smart Ithalat Ihracat Dis Ticaret Limited Sirketi,Entity
Mohamad Ameen,Individual
Bah Ag Moussa,Individual
Maritime Assistance Llc,Entity
Ivan Okorokov,Individual
Karen Stepanyan,Individual
Mohamed Ahmed Elsayed Ahmed Ibrahim,Individual
Ilya Loginov,Individual
S.A. De C.V. Group Grand Limited,Entity
C I Fondo Global De Alimentos Ltda,Entity
Emmr & Cia. S.A.S.,Entity
Persian Gulf Fajr Yadavaran Gas Refinery Company,Entity
Petrochemical Industries Development Management Company,Entity
Rahavaran Fonoon Petrochemical Company,Entity
Urmia Petrochemical Company,Entity
Hemmat Petrochemical Company,Entity
Naghmeh Fze,Entity
Petrochemical Non-Industrial Operations & Services Co.,Entity
Ministry Of Rocket Industry,Entity
Makki Kazim 'Abd Al-Hamid Al-Asadi,Individual
South Wealth Resources Company,Entity
Mohammed Hussein Salih Al Hasani,Individual
Bs Company Offshore,Entity
Samer Foz,Individual
Aman Holding Company,Entity
Amer Foz,Individual
Husen Foz,Individual
Mena Crystal Sugar Company Limited,Entity
Persian Gulf Petrochemical Industry Commercial Co.,Entity
Persian Gulf Bid Boland Gas Refinery Company,Entity
Persian Gulf Apadana Petrochemical Company,Entity
Pazargad Non Industrial Operation Company,Entity
Khouzestan Petrochemical Company,Entity
Bandar Imam Faravaresh Petrochemical Company,Entity
Lordegan Urea Fertilizer Company,Entity
Bandar Imam Kharazmi Petrochemical Company,Entity
Bandar Imam Kimiya Petrochemical Company,Entity
Modabberan Eqtesad Company,Entity
Fajr Petrochemical Company,Entity
Hengam Petrochemical Company,Entity
Mainpharma,Entity
Hormoz Urea Fertilizer Company,Entity
Iranian Investment Petrochemical Group Company,Entity
Gachsaran Polymer Industries,Entity
Dah Dasht Petrochemical Industries,Entity
Broojen Petrochemical Company,Entity
Ilam Petrochemical Company,Entity
Atlas Ocean And Petrochemical (AOPC),Entity
Iranian Petrochemical Investment Development Management Company,Entity
Karoun Petrochemical Company,Entity
Npc Alliance Corporation,Entity
Bandar Imam Abniroo Petrochemical Company,Entity
Aman Damascus Joint Stock Company,Entity
Al-Mohaimen For Transporting & Contracting,Entity
Amir Ali Hajizadeh,Individual
Su Il Kim,Individual
Ali Husseini Khamenei,Individual
Nicolas Ernesto Maduro Guerra,Individual
Eustiquio Jose Lugo Gomez,Individual
Luis Alfredo Motta Dominguez,Individual
Mohammad Javad Zarif,Individual
Mohammad Mohammadi Golpayegani,Individual
Ali Akbar Velayati,Individual
Balochistan Liberation Army,Entity
Husain Ali Hazzima,Individual
Amin Sherri,Individual
Muhammad Hasan Ra'D,Individual
Wafiq Safa,Individual
Emmanuel Enrique Rubio Gonzalez,Individual
S.A. Multitex International Trading,Entity
S.A. Global Structure,Entity
Mohammad Pakpour,Individual
Ali Ozma'I,Individual
Mansur Ravankar,Individual
Yadollah Badin,Individual
Orient Club,Entity
Four Seasons Damascus,Entity
Lana Tv,Entity
Synergy Sal Offshore,Entity
Gustavo Eduardo Porras Cortes,Individual
Oscar Salvador Mojica Obregon,Individual
Sonia Castro Gonzalez,Individual
Foz For Trading,Entity
Wang Ken Huang,Individual
Jui Pang Shipping Co Ltd,Entity
Jui Cheng Shipping Company Limited,Entity
Jui Zong Ship Management Co Ltd,Entity
Cubametales,Entity
Abbas Gholamshahi,Individual
Ramezan Zirahi,Individual
Mei Hsiang Chen,Individual
Khalid Aedh G. Alotaibi,Individual
Llc Novye Proekty,Entity
Ghadir Solar Electricity And Energy,Entity
Sepehr Mashahd Cement Transportation,Entity
Ghadir Pishro Electricity Generation,Entity
Pars Gha’Em Gostar,Entity
Kurdistan Cement,Entity
Payandeh Jaam Electricity Energy,Entity
Arjan Electricity And Energy Generation Management,Entity
Tarabar-Gorous Trust Transportation,Entity
Pouyan Tabaan Energy,Entity
Ghadir Real-Time Systems Development,Entity
Dana Integrated System For Electronic Interactions Co.,Entity
Ghadir Mazandaran Electricity And Energy Generation,Entity
Raahbar Computer Resources Management,Entity
Ghadir Mehriz Solar Energy,Entity
Railcom Raahbar Co.,Entity
Fanavaran Etemaad Raahbar Co.,Entity
Ghadir Tehran Electricity And Energy Generation Development,Entity
Sharq Coalmines,Entity
Raahbar Sarir Integrated Tracking Systems Inc,Entity
Ghadir Caspian Gilan Energy,Entity
Ghadir Lamord Energy,Entity
South Iran Daryaban Kish,Entity
Sepahan Cement Investment,Entity
Sepahan Cement Concrete Products,Entity
Iran Merine Services,Entity
Sepahan Cement Rahnavard Products Transportation,Entity
Parsian Rail Transport Development,Entity
Mapna Khuzestan Electricity Generation,Entity
Ghadir Oxin Electricity Generation Development,Entity
Ghadir Abu Musa Hamoon,Entity
Sepahan Cement Pakat-Sazi Shafagh,Entity
Qom Energy Generation Gostar,Entity
Gilan Electricity Transmission Development,Entity
Sharq Cement,Entity
Gilan Electricity Generation Management,Entity
Hormogan Electricity And Power Generation,Entity
Sharq Cement Manufacturers,Entity
Sharq Cement Industrial Limestone,Entity
Sharq White Cement,Entity
Ghadir Qom Solar Energy Generation Development,Entity
Damavand Electricity And Power Engineering,Entity
Pars International Industry Development,Entity
Muhammad 'Abd-Al-Hadi Farhat,Individual
Al-Mujahidin Brigades,Entity
S. De R.L. De C.V. A&A Estudio Arquitectonico,Entity
Meshal Saad M. Albostani,Individual
Salah Muhammed A. Tubaigy,Individual
Naif Hassan S. Alarifi,Individual
Mohammed Saad H. Alzahrani,Individual
Mansour Othman M. Abahussain,Individual
Abdulaziz Mohammed M. Alhawsawi,Individual
Waleed Abdullah M. Alsehri,Individual
Thaar Ghaleb T. Alharbi,Individual
Turki Muserref M. Alsehri,Individual
Maher Abdulaziz M. Mutreb,Individual
Fahad Shabib A. Albalawi,Individual
Badr Lafi M. Alotaibi,Individual
Mustafa Mohammed M. Almadani,Individual
Saif Saad Q. Alqahtani,Individual
Adnan Hussein Kawtharani,Individual
Yusuf Hashim,Individual
Shibl Muhsin 'Ubayd Al-Zaydi,Individual
Jawad Nasrallah,Individual
Takhteh Shahid Ba Honar,Entity
Ghadir Kani Ariya,Entity
Neyriz Steel,Entity
Pars Nickel Karan Kabir,Entity
Ghadir Etezad Investment,Entity
Ghadir Industrial Trading,Entity
Ghadir Petro Arman Kish,Entity
Ghadir Caspian Steel Trading,Entity
Sepahan Cement,Entity
Zarin Persia Investment,Entity
Sepehr Iranian Insurance Services,Entity
Tejarat Paydar Payman Development,Entity
Ghadir International Trading And Development,Entity
Iranian Titanium Development,Entity
S. De R.L. De C.V. G Y R Arquitectos,Entity
S. De P.R. De R.L. De C.V. Granatura,Entity
S. De R.L. De C.V. Operadora Restaurantera Del Sol Naciente,Entity
Iran Nuclear Regulatory Authority,Entity
Arman Resources Equip And Support Management,Entity
Kish Asia Navak,Entity
Day Investment,Entity
Hamoon Sepahan Commercial Trading,Entity
International Tanker Limited,Entity
Interseas Shipyard Ltd,Entity
Miracle Transportation Limited,Entity
Moment Investment Limited,Entity
Nationwide Shipping Ltd,Entity
New Age Shipping Limited,Entity
Pacific Shipping And Transportation Limited,Entity
Palm Service Limited,Entity
Star Ship Management Limited,Entity
Worldfast International Limited,Entity
Atlantic Shipping & Trans,Entity
Diamond Transportation Limited,Entity
Dimond Transportation Limited,Entity
Empire Maritime Services Limited,Entity
Europe Transportation Limited,Entity
Global Age Limited,Entity
Global United Shipping Limited,Entity
International Expertise Group Limited,Entity
Golden Enterprise Shipping Limited,Entity
Future Age Shipping Limited,Entity
Belize Shipping Line Service Limited,Entity
Jammal Trust Bank S.A.L.,Entity
Ayandeh Bank,Entity
Ghavamin Bank,Entity
Isidro Avelar Gutierrez,Individual
S.A. De C.V. Jafiela Boutique,Entity
S.A. De C.V. Arquitectura Y Diseno En Balance,Entity
Islamic Republic Of Iran - China Shipping Lines,Entity
Islamic Republic Of Iran - Middle East Shipping Lines Company,Entity
Pacific Ocean Shipping Limited,Entity
Persian Gulf Sabz Karafarinan,Entity
Esail Shipping Limited,Entity
Witshipping Maritime Pte Ltd,Entity
First Islamic Investment Bank Limited,Entity
Oghyanous Khoroshan Kish,Entity
Shomal Cement Company,Entity
Mohammad Hossein Dajmar,Individual
Bmiic International General Trading L.L.C.,Entity
Belize Ship And Logistic Limited,Entity
Shipping Welfare Services Institute,Entity
Mohammad Al-Otaibi,Individual
Speed Transportation Limited,Entity
Target Transportation Limited,Entity
Fars Sarpanah,Entity
Pars Sazeh Engineering And Construction,Entity
Ghadir Payman Counseling Engineers,Entity
Kish Rooya-E Zendegi,Entity
Ofoq Sazeh Payah,Entity
Tisa Kish,Entity
Narenjestan Hotel And Building Development,Entity
Momtaz Electric,Entity
Payvar Andish,Entity
Motojen Auto Industry Company,Entity
Karamaad Systems Management,Entity
Hamoon Sepahan Investment,Entity
Vasepari Sepehr Pars,Entity
Hamoon Sepahan Management Services,Entity
Pars Paidar Sanat Novin,Entity
Shiraz Pars Farayand Oil Refinery,Entity
Azar Investment,Entity
Ghadir Khuzestan Construction Industry Development,Entity
Azerbaijan Construction,Entity
Behsazan Pars Equipment Development,Entity
Baghmisheh Residential Development,Entity
Universal Shipping And Transportation Limited,Entity
Universe Shipping Limited,Entity
Worldwide Shipping & Transportation Limited,Entity
Azar Pad Qeshm,Entity
Atlas Kian Qeshm,Entity
Pouya Tamin Kish,Entity
Daryanavard Kish,Entity
Parsian Oil And Gas Development,Entity
Spring Shipping Limited,Entity
Motojen,Entity
Ghadir Electricity And Energy Investment,Entity
Iranian Novin Industry Development,Entity
Negin Kish International Sahel And Farasahel Development,Entity
South Aluminum Company,Entity
Ghadir Management And Commercial Services,Entity
Raahbar Informatics Services,Entity
Sakhteman International Development,Entity
A.S.P. Builders,Entity
Ghadir Investment And Industry Development,Entity
Saud Al-Qahtani,Individual
Salah Badi,Individual
Hajji 'Abd Al-Nasir,Individual
Zaynabiyoun Brigade,Entity
S.A. Petroleos De Venezuela,Entity
New Horizon Organization,Entity
Nader Talebzadeh Ordoubadi,Individual
Zeinab Mehanna Talebzadeh,Individual
Gholamreza Montazami,Individual
Hamed Ghashghavi,Individual
Rafael Enrique Bastardo Mendoza,Individual
Rafael Alejandro Lacava Evangelista,Individual
Hossein Abbasi,Individual
Mojtaba Masoumpour,Individual
Hossein Parvar,Individual
Milad Mirzabeygi,Individual
Ivan Rafael Hernandez Dala,Individual
Fatemiyoun Division,Entity
Qeshm Fars Air,Entity
Adrian Jose Velasquez Figueroa,Individual
Nevskiy News Llc,Entity
Economy Today Llc,Entity
Federal News Agency Llc,Entity
Elena Alekseevna Khusyaynova,Individual
Usa Really,Entity
Alexander Aleksandrovich Malkevich,Individual
Fujing Zheng,Individual
Manuel Salvador Quevedo Fernandez,Individual
Dalian Haibo International Freight Co. Ltd.,Entity
Inc. Planet 2 Reaching,Entity
Norbert Basengezi Katintima,Individual
Marcellin Basengezi,Individual
Guanghua Zheng,Individual
Zheng Drug Trafficking Organization,Entity
Ltd. Qinsheng Pharmaceutical Technology Co.,Entity
Sociedad Anonima De Capital Variable L-Inmo,Entity
Flight Travel Llc,Entity
Liaoning Danxing International Forwarding Co. Ltd.,Entity
Claudia Patricia Diaz Guillen,Individual
Hildemaro Jose Rodriguez Mucura,Individual
Conrado Adolfo Frenzel,Individual
Smile Property & Travel Ltd,Entity
Smilewallet S.A.S.,Entity
Smile Technologies Canada Ltd,Entity
Bajer S.R.L.,Entity
High Nutrition Sociedad De Responsabilidad Limitada,Entity
B-Work S.A.S.,Entity
Evrofinance Mosnarbank,Entity
Ao Zavod Fiolent,Entity
Llc Sk Consol-Stroi Ltd,Entity
Aleksey Alekseevich Naydenko,Individual
Vladimir Yurievich Vysotsky,Individual
Yaroslavsky Shipbuilding Plant,Entity
Zelenodolsk Shipyard Plant Named After A.M. Gorky,Entity
Gup Rk Ktb Sudokompozit,Entity
Ao Kontsern Okeanpribor,Entity
Pao Zvezda,Entity
Ruslan Romashkin,Individual
Smile Technologies S.A.,Entity
Harakat Al-Nujaba,Entity
Andrey Shein,Individual
Jorge Alejandro Paura,Individual
Luciano Brunetti,Individual
Lucas Daniel Paura,Individual
Santiago Videmato,Individual
Goldpharma Drug Trafficking & Money Laundering Organization,Entity
Remigio Ceballos Ichaso,Individual
Ramon Alonso Carrizalez Rengifo,Individual
Sergio David Ferrari,Individual
Omar Jose Prieto Fernandez,Individual
Jesus Maria Mantilla Oliveros,Individual
Richard Jesus Lopez Vargas,Individual
Jose Leonardo Norono Torres,Individual
Jose Miguel Dominguez Ramirez,Individual
Cristhiam Abelardo Morales Zambrano,Individual
Alberto Mirtiliano Bermudez Valderrey,Individual
Gennadiy Medvedev,Individual
Sergey Stankevich,Individual
Jorge Luis Garcia Carneiro,Individual
Minerven,Entity
Potrico Corp.,Entity
Windham Commercial Group Inc.,Entity
Natanael Castro Cordero,Individual
Carlos Ariel Fernandez Concepcion,Individual
Yadher Rafael Jaquez Araujo,Individual
Kelvin Enrique Fernandez Flaquer,Individual
Barbaro Records Srl,Entity
Inkuortyn Five Srl,Entity
Suplinka Srl,Entity
Flow Gallery Lounge Srl,Entity
Unlimited Dance Discoteca Srl,Entity
Soluga Soluciones Gastronomicas Srl,Entity
Gonzalez Penuelas Drug Trafficking Organization,Entity
Adelmo Nunez Molina,Individual
Raul Payan Meraz,Individual
Juana Payan Meraz,Individual
Kwang Ho Pak,Individual
Gregory Vasili Dimitry,Individual
Alexander Yevgeniyevich Mishkin,Individual
Jhonan Alexander Urena Martinez,Individual
Boarnerges Sanchez Nolasco,Individual
Bernardo Antonio Valdez Garcia,Individual
Ramon Antonio Del Rosario Puente,Individual
Vladlen Amtchentsev,Individual
Maiwand Exim Private Limited,Entity
Maiwand Tobacco Limited,Entity
Maiwand Beverages Limited,Entity
Tadbir Kish Medical And Pharmaceutical Company,Entity
Promsyrioimport,Entity
Global Vision Group,Entity
Mhd Amer Alchwiki,Individual
Anatoliy Vladimirovich Chepiga,Individual
Andrey Dogaev,Individual
Rasoul Sajjad,Individual
Rosario Maria Murillo De Ortega,Individual
Nestor Moncada Lau,Individual
Hossein Yaghoubi Miab,Individual
Ali Khorashadizadeh,Individual
Mohammad Ghorbaniyan,Individual
Cesar Emilio Peralta,Individual
Cesar Peralta Drug Trafficking Organization,Entity
Muhammad Qasim Al-Bazzal,Individual
C.A. Corpomedios Gv Inversiones,Entity
Obac William Olawo,Individual
Golden Wings Aviation,Entity
Rim Group Investments Ii Corp.,Entity
Rim Group Investments Iii Corp.,Entity
Corp. Magus Holdings Usa,Entity
Magus Holding Llc,Entity
Corp. Magus Holding Ii,Entity
Corpomedios Llc,Entity
Corp. Rim Group Properties Of New York,Entity
Rim Group Properties Of New York Ii Corp.,Entity
Tindaya Properties Holding Usa Corp.,Entity
Tindaya Properties Of New York Corp.,Entity
Tindaya Properties Of New York Ii Corp.,Entity
Corp. Globovision Tele Ca,Entity
Constello No. 1 Corporation,Entity
Constello Inc.,Entity
Inc. Posh 8 Dynamic,Entity
Globovision Tele C.A.,Entity
Seguros La Vitalicia C.A.,Entity
Rim Group Investments I Corp.,Entity
Corp. Rim Group Investments,Entity
Gustavo Adolfo Perdomo Rosales,Individual
Raul Gorrin Belisario,Individual
Crown Auto Trade,Entity
Africana General Trading Ltd,Entity
Evgenii Mikhaylovich Serebriakov,Individual
Oleg Mikhaylovich Sotnikov,Individual
Alexey Valerevich Minin,Individual
Viktor Borisovich Netyksho,Individual
Victor Francisco Beltran Garcia,Individual
Evren Kayakiran,Individual
Aleksei Sergeyevich Morenets,Individual
Boris Alekseyevich Antonov,Individual
Aleksey Viktorovich Lukashev,Individual
Nikolay Yuryevich Kozachek,Individual
Artem Andreyevich Malyshev,Individual
Aleksandr Vladimirovich Osadchuk,Individual
Aleksey Aleksandrovich Potemkin,Individual
Anatoliy Sergeyevich Kovalev,Individual
Victor Alekseyevich Boyarkin,Individual
Leonardo Gonzalez Dellan,Individual
Ivan Sergeyevich Yermakov,Individual
Trust Insurance S.A.L.,Entity
Zhiqing Wang,Individual
Trust Life Insurance Company S.A.L.,Entity
Ltd. Dalian Golden Sun Import And Export Co.,Entity
Ali Abdullah Ayoub,Individual
Ltd. Tianyi International Dalian Co.,Entity
Limited Saturn Oasis Co.,Entity
Armed Forces Social Security Investment Company,Entity
Main Street 1095 Proprietary Limited,Entity
Mohammad Hassan Toulai,Individual
Hossein Tavakkoli,Individual
Reza Ebadzadeh Semnani,Individual
Hasan Saburinezhad,Individual
Mada'In Novin Traders,Entity
Vali Gholizadeh,Individual
Sayyed Reza Musavifar,Individual
Middle East Saman Chemical Company,Entity
Al Khamael Maritime Services,Entity
Ali Farhan Asadi,Individual
Shaykh 'Adnan Al-Hamidawi,Individual
Mcfly Plastic Hk Limited,Entity
Mohammed Saeed Odhafa Al Behadili,Individual
Spi International,Entity
Alam Althrwa General Trading Llc,Entity
Mohammad Hasan Sadeghi Moghadam,Individual
Siamak Rahpeyk,Individual
Abbas Ali Kadkhodaei,Individual
Korea Daizin Trading Corp.,Entity
Ivan Adolfo Acosta Montalvan,Individual
Juan Carlos Ortega Murillo,Individual
Difuso Comunicaciones S.A.,Entity
Ahmad Al-Hamidawi,Individual
Ali Hassan Khalil,Individual
Liz Paola Doldan Gonzalez,Individual
Mobile Zone International Import-Export S.R.L.,Entity
Tnk Trading International S.A.,Entity
Petro Grand Fze,Entity
Alphabet International Dmcc,Entity
Swissol Trade Dmcc,Entity
Alwaneo L.L.C. Co.,Entity
Ali Hussein Falih Al-Mansoori,Individual
Sayyed Yaser Musavir,Individual
Reconstruction Organization Of Holy Shrines In Iraq,Entity
Hossein Ashtari Fard,Individual
Ayoub Soleimani,Individual
Mohsen Fathi Zadeh,Individual
Yahya Mahmoodzadeh,Individual
Hamidraza Ashraq,Individual
Mohammad Ali Noorinajad,Individual
Abdolreza Rahmani Fazli,Individual
Habil Darvish,Individual
Olga Maria Zepeda Esparza,Individual
Veronica Esparza Garcia,Individual
Joaquin Leal Jimenez,Individual
S.A. De C.V. Libre Abordo,Entity
Schlager Business Group S. De R.L. De C.V.,Entity
Washington Trading Ltd,Entity
Great Tehran Penitentiary,Entity
Julio Cesar Aviles Castillo,Individual
Shanghai Saint Logistics Limited,Entity
Taif Mining Services Llc,Entity
Amir Dianat,Individual
Hassan Pelarak,Individual
Alireza Fadakar,Individual
Muhammad Al-Ghorayfi,Individual
Masoud Shoushtaripousti,Individual
Mohammad Jalal Maab,Individual
Mehdi Ghasemzadeh,Individual
Mashallah Bakhtiari,Individual
Bahjat Al Kawthar Company For Construction And Trading Ltd.,Entity
Mohammad Yazdi,Individual
Russian Imperial Movement,Entity
Denis Valiullovich Gariyev,Individual
Nikolay Nikolayevich Trushchalov,Individual
Jose Jorge Mojica Mejia,Individual
Amir Muhammad Sa'Id Abdal-Rahman Al-Mawla,Individual
Mundo Digital S.A.,Entity
Damascus Cham Holding Company,Entity
Hasan Al-Shaban,Individual
Stanislav Anatolyevich Vorobyev,Individual
Ahmad Jannati,Individual
Capital S.A.L.,Entity
Sanovera Pharm Company Sarl,Entity
Ali Bayandarian,Individual
Erika Gonzalez Valencia,Individual
Jiaxiang Industry Hong Kong Limited,Entity
Ltd. Shandong Qiwangwa Petrochemical Co.,Entity
Ekaterina Eduardovna Pyrkova,Individual
Pamchel Trading Beijing Co. Ltd.,Entity
Power Anchor Limited,Entity
Ali Akbar Salehi,Individual
Sage Energy Hk Limited,Entity
Beneathco Dmcc,Entity
Limited Peakview Industry Co.,Entity
Triliance Petrochemical Co. Ltd.,Entity
Mikhail Vladimirovich Razvozhaev,Individual
Vladimir Vladimirovich Nemtsev,Individual
Sergei Andreevich Danilenko,Individual
Lidia Aleksandrovna Basova,Individual
Yuri Mikhailovich Gotsanyuk,Individual
Khalil Ahmad Hijazi,Individual
Kassem Mohamad Hijazi,Individual
Luis Alberto Perez Olivas,Individual
Juan Antonio Valle Valle,Individual
Justo Pastor Urbina,Individual
Atlas Holding,Entity
Kassem Mohamad Ali Bazzi,Individual
Medical Equipment And Drugs International Corporation,Entity
Shahed Pharm,Entity
Amana Fuel Co.,Entity
Amana Plus S.A.L.,Entity
Al Kawthar,Entity
Amana Sanitary And Paints Company L.T.D.,Entity
City Pharma Sarl,Entity
Global Touristic Services Sal,Entity
Mirath S.A.L.,Entity
Espana Informatica S.A.,Entity
Richard Izuchukwu Uzuh,Individual
Alex Afolabi Ogunshakin,Individual
Reinaldo Enrique Munoz Pedroza,Individual
Indira Maira Alfonzo Izaguirre,Individual
Jose Luis Gutierrez Parra,Individual
Andrii Leonidovych Derkach,Individual
Kaniyat Militia,Entity
Parthia Cargo Llc,Entity
